configurationID,H264,no_8x8dct,no_asm,no_cabac,no_deblock,no_fast_pskip,no_mbtree,no_mixed_refs,no_weightb,rc_lookahead,ref,size,usertime,systemtime,elapsedtime
243,true,false,true,true,true,false,true,false,false,40,9,64,2.369,0.057,0.727
244,true,false,true,true,true,false,true,true,false,20,5,68,1.619,0.054,0.504
245,true,true,true,false,false,false,false,false,false,20,9,48,2.316,0.059,0.706
246,true,false,true,true,true,false,false,true,true,60,5,56,1.559,0.056,0.489
247,true,false,true,false,false,false,true,false,true,40,5,64,1.687,0.054,0.519
248,true,false,true,true,true,false,false,true,false,60,9,56,2.217,0.058,0.685
249,true,false,true,false,false,false,true,false,true,40,9,64,2.463,0.065,0.748
25,true,false,true,true,true,false,true,false,true,40,5,68,1.703,0.054,0.528
250,true,false,true,true,true,false,false,true,false,60,5,56,1.631,0.056,0.516
251,true,false,true,true,true,false,true,false,false,60,1,68,1.166,0.051,0.356
252,true,false,true,false,false,false,true,false,true,40,1,64,1.211,0.053,0.359
253,true,false,true,true,true,false,false,true,false,60,1,56,1.125,0.051,0.352
254,true,true,true,true,false,true,false,false,true,20,9,48,2.741,0.065,0.873
255,true,true,true,true,false,true,false,false,true,20,5,52,1.818,0.057,0.585
256,true,true,true,true,false,true,false,false,true,20,1,48,1.095,0.051,0.324
257,true,true,true,true,false,true,true,false,true,20,1,64,1.149,0.051,0.341
258,true,true,true,false,false,false,true,true,true,20,5,64,1.626,0.055,0.497
259,true,true,true,false,false,false,true,true,true,20,9,64,2.224,0.058,0.682
26,true,true,true,true,false,false,false,false,true,40,9,52,2.251,0.058,0.696
260,true,true,true,true,false,true,true,false,true,20,9,64,2.820,0.063,0.877
261,true,false,true,false,false,false,false,false,true,20,1,48,1.114,0.051,0.328
262,true,true,true,false,false,false,true,true,true,20,1,64,1.156,0.051,0.342
263,true,true,true,true,false,true,true,false,true,20,5,64,1.917,0.055,0.597
264,true,false,true,false,false,false,false,false,true,20,5,48,1.604,0.055,0.490
265,true,false,true,false,false,true,false,true,false,60,5,56,1.772,0.058,0.560
266,true,false,true,true,true,false,true,false,false,60,9,64,2.442,0.064,0.746
267,true,false,true,true,true,false,true,true,false,40,5,68,1.598,0.053,0.495
268,true,false,true,false,false,false,false,false,true,20,9,48,2.170,0.058,0.666
269,true,false,true,false,false,true,false,true,false,60,9,56,2.559,0.061,0.791
27,true,true,true,false,true,false,true,false,true,60,9,64,2.408,0.063,0.735
270,true,false,true,true,true,false,true,true,false,40,1,68,1.138,0.051,0.349
271,true,false,true,true,true,false,true,false,false,60,5,64,1.713,0.055,0.530
272,true,false,true,false,false,false,true,false,true,20,9,64,2.379,0.058,0.725
273,true,false,true,false,false,true,false,true,false,60,1,56,1.138,0.054,0.357
274,true,false,true,true,true,false,true,true,false,40,9,68,2.312,0.060,0.715
275,true,true,true,false,true,false,false,false,true,60,1,56,1.104,0.054,0.343
276,true,false,true,true,false,false,false,true,true,60,9,56,2.196,0.059,0.677
277,true,false,true,false,true,false,true,false,false,40,9,64,2.559,0.065,0.773
