,mbtree,aq-mode,subme
video_718,0.01,-0.59,-0.43
video_719,-0.16,-0.55,-0.43
video_720,-0.31,-0.21,-0.51
video_721,-0.29,-0.41,-0.32
video_722,-0.62,-0.39,-0.13
video_723,-0.42,-0.26,-0.36
video_724,-0.56,-0.22,-0.28
video_725,-0.3,-0.46,-0.38
video_726,-0.51,-0.27,-0.3
video_727,-0.31,-0.65,-0.24
video_728,0.16,-0.64,-0.42
video_729,-0.76,-0.31,-0.12
video_730,-0.07,-0.42,-0.54
video_731,-0.13,-0.57,-0.35
video_732,-0.54,-0.42,-0.11
video_733,0.1,-0.76,-0.34
video_734,-0.17,-0.65,-0.34
video_735,-0.09,-0.58,-0.23
video_736,-0.23,-0.62,-0.27
video_737,-0.93,0.48,0.04
video_738,0.5,-0.78,-0.37
video_739,-0.18,-0.49,-0.4
video_740,-0.14,-0.45,-0.34
video_741,0.26,-0.52,-0.59
video_742,-0.26,-0.26,-0.47
video_743,-0.06,-0.63,-0.32
video_744,0.23,-0.63,-0.06
video_745,0.1,-0.25,-0.13
video_746,0.16,-0.49,-0.57
video_747,-0.89,0.03,-0.18
video_748,-0.4,-0.62,-0.2
